date,"hour","text","source","username","hashtags"	
2019-06-23,"11:17:00","Parada do Orgulho LGBT acontece neste domingo em SP com 19 trios e shows de Mel C, Iza, Karol Conká e Gloria Groove… https://t.co/DCcqf2Psf3","TweetDeck","G1",""	
2019-06-23,"10:43:07","Baterista Paulo P.A. Pagni, do RPM, é velado em Araçariguama https://t.co/yiyUQ1DEf0 #G1 https://t.co/Q8T2iVgNAH","TweetDeck","G1","G1"	
2019-06-23,"2:00:00","O presidente americano também se disse disposto a fazer um acordo para ajudar a economia iraniana ==&gt	 
https://t.co/4Hm6YLVUM2 #G1","TweetDeck","G1","G1"	
2019-06-23,"1:30:00","Presidente dos EUA disse que vai postegar medida enquanto busca um compromisso com os líderes democratas sobre ques… https://t.co/9fJKum1ZgX","TweetDeck","G1",""	
2019-06-23,"1:00:00","A cabeleireira viralizou na web quando fez um post “ameaçando” se mudar “de mala e cuia” para a casa do ex que não… https://t.co/cQrlHwbk5V","TweetDeck","G1",""	
2019-06-23,"0:17:07","Veja as dezenas sorteadas ==&gt	 https://t.co/VGLP0Vag40 #G1","TweetDeck","G1","G1"
2019-06-23,"0:00:00","Ela disse que está com vontade de comer arroz com feijão e mandou um recado para os colegas da escola: “estou volta… https://t.co/RLF5td0H3E","TweetDeck","G1",""	
2019-06-22,"23:30:00","O pai dela dirigia o veículo e sofreu o acidente enquanto tentava socorrer a filha ==&gt	 https://t.co/D3iqEBnszH #G1","TweetDeck","G1","G1"
2019-06-22,"23:00:00","'Eu me desesperei e achei que tinha caído meu rosto', diz vítima de ataque com líquido ácido em Porto Alegre ==&gt	 https://t.co/Bo26PpBQqO #G1","TweetDeck","G1","G1"
2019-06-22,"22:30:00","Catador constrói casa com dinheiro da reciclagem: 'Me chamam de João de Barro'	
